image,box_index,class_id,number_candidate,word_candidate,final_text,final_type,final_score
1156.jpg,2,100,,,,,
1156.jpg,3,1,,,,,
1156.jpg,4,2,২,,২,number,89.82
1156.jpg,5,3,,,,,
1156.jpg,6,4,,,,,
1156.jpg,7,5,,,,,
1156.jpg,8,6,৬,,৬,number,76.66
1156.jpg,ALL,N/A,২,কুড়িগ্রাম,কুড়িগ্রাম ২,summary,N/A
248.jpg,1,49,,ঢাকা,ঢাকা,word,86.49
248.jpg,2,10,,মেট্রো,মেট্রো,word,72.83
248.jpg,3,18,,,,,
248.jpg,4,3,,,,,
248.jpg,5,3,,,,,
248.jpg,6,6,,,,,
248.jpg,7,1,১,,১,number,100.00
248.jpg,8,2,,,,,
248.jpg,9,8,,,,,
248.jpg,ALL,N/A,১,ঢাকা,ঢাকা ১,summary,N/A
1537.jpg,1,92,,সাতক্ষীরা,সাতক্ষীরা,word,93.94
1537.jpg,2,25,,,,,
1537.jpg,3,1,১,,১,number,100.00
1537.jpg,4,9,৯,,৯,number,99.99
1537.jpg,5,8,,,,,
1537.jpg,6,2,,,,,
1537.jpg,7,2,১,,১,number,90.81
1537.jpg,8,2,১,,১,number,76.42
1537.jpg,ALL,N/A,১,সাতক্ষীরা,সাতক্ষীরা ১,summary,N/A
1385.jpg,1,90,,,,,
1385.jpg,2,15,,,,,
1385.jpg,3,7,,,,,
1385.jpg,4,8,,,,,
1385.jpg,5,9,,,,,
1385.jpg,6,0,,,,,
1385.jpg,7,1,,,,,
1385.jpg,8,2,,,,,
1385.jpg,ALL,N/A,,,N/A,summary,N/A
2193.jpg,1,49,,,,,
2193.jpg,2,10,,,,,
2193.jpg,3,31,,,,,
2193.jpg,4,1,,,,,
2193.jpg,5,3,,,,,
2193.jpg,6,0,,,,,
2193.jpg,7,0,,,,,
2193.jpg,8,1,,,,,
2193.jpg,9,7,,,,,
2193.jpg,ALL,N/A,,,N/A,summary,N/A
1704.jpg,1,94,,,,,
1704.jpg,2,25,,,,,
1704.jpg,3,3,,,,,
1704.jpg,4,4,,,,,
1704.jpg,5,5,,,,,
1704.jpg,6,6,৬,,৬,number,20.77
1704.jpg,7,7,,,,,
1704.jpg,8,8,,,,,
1704.jpg,ALL,N/A,৬,,৬,summary,N/A
897.jpg,1,91,,রংপুর,রংপুর,word,99.84
897.jpg,2,20,,,,,
897.jpg,3,1,১,,১,number,100.00
897.jpg,4,7,,,,,
897.jpg,5,1,১,,১,number,100.00
897.jpg,6,7,,,,,
897.jpg,7,5,৫,,৫,number,93.00
897.jpg,8,8,৮,,৮,number,99.98
897.jpg,ALL,N/A,১,রংপুর,রংপুর ১,summary,N/A
1882.jpg,1,49,,ঢাকা,ঢাকা,word,81.03
1882.jpg,2,10,,,,,
1882.jpg,3,13,,,,,
1882.jpg,4,5,,,,,
1882.jpg,5,3,,,,,
1882.jpg,6,4,,,,,
1882.jpg,7,5,৫,,৫,number,83.68
1882.jpg,8,4,,,,,
1882.jpg,9,1,,,,,
1882.jpg,ALL,N/A,৫,ঢাকা,ঢাকা ৫,summary,N/A
1067.jpg,1,73,,মৌলভীবাজার,মৌলভীবাজার,word,98.55
1067.jpg,2,25,,,,,
1067.jpg,3,1,১,,১,number,100.00
1067.jpg,4,1,১,,১,number,100.00
1067.jpg,5,2,২,,২,number,80.23
1067.jpg,6,7,,,,,
1067.jpg,7,6,,,,,
1067.jpg,8,3,৩,,৩,number,98.24
1067.jpg,ALL,N/A,১,মৌলভীবাজার,মৌলভীবাজার ১,summary,N/A
1254.jpg,1,73,,মৌলভীবাজার,মৌলভীবাজার,word,71.61
1254.jpg,2,100,,,,,
1254.jpg,3,8,৩,,৩,number,13.89
1254.jpg,4,8,৩,,৩,number,76.78
1254.jpg,5,9,,,,,
1254.jpg,6,0,,,,,
1254.jpg,7,1,,,,,
1254.jpg,8,7,,,,,
1254.jpg,ALL,N/A,৩,মৌলভীবাজার,মৌলভীবাজার ৩,summary,N/A
2643.jpg,1,49,,ঢাকা,ঢাকা,word,83.74
2643.jpg,2,10,,মেট্রো,মেট্রো,word,79.33
2643.jpg,3,20,,,,,
2643.jpg,4,8,৮,,৮,number,83.35
2643.jpg,5,6,৬,,৬,number,99.97
2643.jpg,6,6,৬,,৬,number,46.49
2643.jpg,7,0,,,,,
2643.jpg,8,2,,,,,
2643.jpg,9,3,৩,,৩,number,99.92
2643.jpg,ALL,N/A,৬,ঢাকা,ঢাকা ৬,summary,N/A
151.jpeg,1,36,,,,,
151.jpeg,2,25,,,,,
151.jpeg,3,1,,,,,
151.jpeg,4,3,,,,,
151.jpeg,5,3,,,,,
151.jpeg,6,2,,,,,
151.jpeg,7,6,,,,,
151.jpeg,8,9,,,,,
151.jpeg,ALL,N/A,,,N/A,summary,N/A
159.jpeg,1,49,,ঢাকা,ঢাকা,word,82.24
159.jpeg,2,10,,মেট্রো,মেট্রো,word,95.61
159.jpeg,3,18,,,,,
159.jpeg,4,1,,,,,
159.jpeg,5,49,,ঢাকা,ঢাকা,word,82.24
159.jpeg,6,7,৭,,৭,number,67.26
159.jpeg,7,9,,,,,
159.jpeg,8,6,,,,,
159.jpeg,9,6,,,,,
159.jpeg,10,7,৭,,৭,number,62.94
159.jpeg,ALL,N/A,৭,ঢাকা,ঢাকা ৭,summary,N/A
615.jpg,1,57,,জামালপুর,জামালপুর,word,98.52
615.jpg,2,23,,,,,
615.jpg,3,3,,,,,
615.jpg,4,4,,,,,
615.jpg,5,5,,,,,
615.jpg,6,6,৬,,৬,number,49.49
615.jpg,7,7,৭,,৭,number,65.84
615.jpg,8,8,৮,,৮,number,28.13
615.jpg,ALL,N/A,৬,জামালপুর,জামালপুর ৬,summary,N/A
2491.jpg,1,35,,বাগেরহাট,বাগেরহাট,word,58.43
2491.jpg,2,20,,,,,
2491.jpg,3,1,,,,,
2491.jpg,4,2,,,,,
2491.jpg,5,0,,,,,
2491.jpg,6,3,,,,,
2491.jpg,7,2,১,,১,number,27.76
2491.jpg,8,1,১,,১,number,99.96
2491.jpg,ALL,N/A,১,বাগেরহাট,বাগেরহাট ১,summary,N/A
1163.jpg,1,66,,,,,
1163.jpg,2,101,,,,,
1163.jpg,3,2,,,,,
1163.jpg,4,4,,,,,
1163.jpg,5,6,,,,,
1163.jpg,6,8,৮,,৮,number,99.79
1163.jpg,7,0,,,,,
1163.jpg,8,1,,,,,
1163.jpg,ALL,N/A,৮,,৮,summary,N/A
1461.jpg,1,73,,মৌলভীবাজার,মৌলভীবাজার,word,92.40
1461.jpg,2,20,,,,,
1461.jpg,3,1,,,,,
1461.jpg,4,1,১,,১,number,100.00
1461.jpg,5,3,,,,,
1461.jpg,6,3,,,,,
1461.jpg,7,2,২,,২,number,94.97
1461.jpg,8,6,,,,,
1461.jpg,ALL,N/A,১,মৌলভীবাজার,মৌলভীবাজার ১,summary,N/A
1124.jpg,1,63,,খুলনা,খুলনা,word,80.68
1124.jpg,2,1,,,,,
1124.jpg,3,2,১,,১,number,92.44
1124.jpg,4,10,,,,,
1124.jpg,5,32,,,,,
1124.jpg,6,3,,,,,
1124.jpg,7,4,,,,,
1124.jpg,8,5,,,,,
1124.jpg,9,6,,,,,
1124.jpg,ALL,N/A,১,খুলনা,খুলনা ১,summary,N/A
2428.jpg,1,49,,,,,
2428.jpg,2,10,,,,,
2428.jpg,3,24,,,,,
2428.jpg,4,1,,,,,
2428.jpg,5,2,১,,১,number,62.16
2428.jpg,6,0,,,,,
2428.jpg,7,0,,,,,
2428.jpg,8,8,,,,,
2428.jpg,9,8,,,,,
2428.jpg,ALL,N/A,১,,১,summary,N/A
1854.jpg,1,44,৮,,৮,number,92.06
1854.jpg,2,10,,মেট্রো,মেট্রো,word,67.15
1854.jpg,3,18,,,,,
1854.jpg,4,1,,,,,
1854.jpg,5,1,,,,,
1854.jpg,6,9,,,,,
1854.jpg,7,1,,,,,
1854.jpg,8,9,,,,,
1854.jpg,9,4,,,,,
1854.jpg,ALL,N/A,৮,মেট্রো,মেট্রো ৮,summary,N/A
2431.jpg,1,49,,,,,
2431.jpg,2,10,,,,,
2431.jpg,3,20,,,,,
2431.jpg,4,2,,,,,
2431.jpg,5,9,,,,,
2431.jpg,6,2,,,,,
2431.jpg,7,9,,,,,
2431.jpg,8,0,,,,,
2431.jpg,9,1,,,,,
2431.jpg,ALL,N/A,,,N/A,summary,N/A
2290.jpg,1,44,,,,,
2290.jpg,2,10,,,,,
2290.jpg,3,34,,,,,
2290.jpg,4,1,১,,১,number,2.87
2290.jpg,5,1,১,,১,number,13.01
2290.jpg,6,1,,,,,
2290.jpg,7,0,,,,,
2290.jpg,8,1,১,,১,number,99.43
2290.jpg,9,7,,,,,
2290.jpg,ALL,N/A,১,,১,summary,N/A
1304.jpg,1,78,,,,,
1304.jpg,2,30,,,,,
1304.jpg,3,1,,,,,
1304.jpg,4,9,,,,,
1304.jpg,5,5,,,,,
1304.jpg,6,6,,,,,
1304.jpg,7,7,,,,,
1304.jpg,8,8,৩,,৩,number,9.32
1304.jpg,ALL,N/A,৩,,৩,summary,N/A
219.jpg,1,49,,,,,
219.jpg,2,10,,,,,
219.jpg,3,24,,,,,
219.jpg,4,1,,,,,
219.jpg,5,1,,,,,
219.jpg,6,8,,,,,
219.jpg,7,4,,,,,
219.jpg,8,7,,,,,
219.jpg,9,7,,,,,
219.jpg,ALL,N/A,,,N/A,summary,N/A
2658.jpg,1,44,,,,,
2658.jpg,2,10,,মেট্রো,মেট্রো,word,88.17
2658.jpg,3,11,,,,,
2658.jpg,4,0,,,,,
2658.jpg,5,0,,,,,
2658.jpg,6,0,,,,,
2658.jpg,7,1,১,,১,number,100.00
2658.jpg,8,2,২,,২,number,95.33
2658.jpg,9,9,১,,১,number,57.39
2658.jpg,ALL,N/A,১,মেট্রো,মেট্রো ১,summary,N/A
2468.jpg,1,74,,,,,
2468.jpg,2,25,,,,,
2468.jpg,3,1,,,,,
2468.jpg,4,1,,,,,
2468.jpg,5,1,,,,,
2468.jpg,6,8,,,,,
2468.jpg,7,2,,,,,
2468.jpg,8,6,,,,,
2468.jpg,ALL,N/A,,,N/A,summary,N/A
415.jpg,1,44,০,,০,number,16.16
415.jpg,2,10,০,,০,number,4.22
415.jpg,3,15,,,,,
415.jpg,4,5,,,,,
415.jpg,5,6,৬,,৬,number,96.31
415.jpg,6,7,,,,,
415.jpg,7,8,,,,,
415.jpg,8,9,,,,,
415.jpg,9,0,,,,,
415.jpg,ALL,N/A,০,,০,summary,N/A
1818.jpg,1,63,,,,,
1818.jpg,2,10,,মেট্রো,মেট্রো,word,80.17
1818.jpg,3,25,,,,,
1818.jpg,4,1,,,,,
1818.jpg,5,2,,,,,
1818.jpg,6,4,,,,,
1818.jpg,7,2,,,,,
1818.jpg,8,3,,,,,
1818.jpg,9,4,,,,,
1818.jpg,ALL,N/A,,মেট্রো,মেট্রো,summary,N/A
559.jpg,1,52,,,,,
559.jpg,2,18,,,,,
559.jpg,3,2,,,,,
559.jpg,4,4,,,,,
559.jpg,5,6,৬,,৬,number,99.78
559.jpg,6,8,,,,,
559.jpg,7,0,,,,,
559.jpg,8,1,১,,১,number,54.69
559.jpg,ALL,N/A,৬,,৬,summary,N/A
1431.jpg,1,71,,মানিকগঞ্জ,মানিকগঞ্জ,word,96.06
1431.jpg,2,33,,,,,
1431.jpg,3,1,১,,১,number,100.00
1431.jpg,4,1,১,,১,number,48.56
1431.jpg,ALL,N/A,১,মানিকগঞ্জ,মানিকগঞ্জ ১,summary,N/A
325.jpg,1,49,,,,,
325.jpg,2,10,,,,,
325.jpg,3,20,,,,,
325.jpg,4,4,,,,,
325.jpg,5,4,,,,,
325.jpg,6,5,,,,,
325.jpg,7,2,,,,,
325.jpg,8,3,,,,,
325.jpg,9,3,,,,,
325.jpg,10,0,,,,,
325.jpg,11,7,,,,,
325.jpg,ALL,N/A,,,N/A,summary,N/A
2116.jpg,1,49,,ঢাকা,ঢাকা,word,67.96
2116.jpg,2,10,,মেট্রো,মেট্রো,word,56.43
2116.jpg,3,18,,,,,
2116.jpg,4,2,,,,,
2116.jpg,5,7,,,,,
2116.jpg,6,2,,,,,
2116.jpg,7,1,,,,,
2116.jpg,8,9,,,,,
2116.jpg,9,1,১,,১,number,98.15
2116.jpg,ALL,N/A,১,ঢাকা,ঢাকা ১,summary,N/A
1957.jpg,1,39,,,,,
1957.jpg,2,20,,,,,
1957.jpg,3,1,,,,,
1957.jpg,4,2,,,,,
1957.jpg,5,3,,,,,
1957.jpg,6,9,,,,,
1957.jpg,7,4,,,,,
1957.jpg,8,1,১,,১,number,99.90
1957.jpg,ALL,N/A,১,,১,summary,N/A
2306.jpg,1,49,,,,,
2306.jpg,2,10,,,,,
2306.jpg,3,13,,,,,
2306.jpg,4,1,,,,,
2306.jpg,5,5,,,,,
2306.jpg,6,8,,,,,
2306.jpg,7,8,,,,,
2306.jpg,8,7,,,,,
2306.jpg,9,7,,,,,
