Star,Constellation,Right ascension,Declination,App. mag.,Distance (ly),Spectral type,Brown dwarf,Mass (MJ),Radius (RJ),Orbital period (d),Semimajor axis (AU),Ecc.,Discovery year
HD 16760,Perseus,02h42m21s,+38° 37′ 07″,8.74,163,G5V,b,14.3,,465.1,1.13,0.067,2009
HD 13189,Triangulum,02h09m40s,+32° 18′ 59″,7.57,603.4,K2II,b,14,,471.6,1.85,0.28,2005
HD 8673,Andromeda,01h26m09s,+34° 34′ 47″,6.31,124.75,F7V,b,14,,639,1.58,,2005
Gliese 569,Boötes,14h54m29s,+16° 06′ 04″,10.2,31.5,M3V+M8.5,Ba + Bb,116[8],,870[8],0.87[8],0.317[8],1988[9]
HD 29587,Perseus,04h41m34s,+42° 07′ 25″,7.29,146.77,G2V,b,40,,1471.7,2.5,0.37,1996
ChaHα8,Chamaeleon,11h07m48s,−77° 40′ 08″,20.1,522,M6.5,b,18,,1590.9,1,0.49,2007
CoRoT-20,Monoceros,06h30m55.3s,+0° 13′ 37″,14.66,4000,G2V,c,17,,1675,2.9,0.6,2010
HD 168443,Serpens,18h20m04s,–09° 35′ 34″,6.92,123.5,G5,c,34,,1739.5,2.87,0.228,2001
HD 38529 A,Orion,05h46m34s,+01° 10′ 05″,5.94,138,G4IV,c,37,,2174.3,3.68,0.36,2002
Epsilon Indi,Indus,22h03m22s,–56° 47′ 09″,4.69,11.8,K5V+T1V+T6V,Bb,28,,5478.75,2.65,,2003
HW Virginis,Virgo,12h44m20s,−08° 40′ 17″,10.9,590,sdB+M,b,19.23,,5786,5.30,0.46,2008
DT Virginis,Virgo,13h0m41.74s,12°  21 ′  14.7″,9.72,37.55,M0V+T8.5p,c,10.29 ±2.46[7],1.15[7],33081,1100,,2010
HD 4113,Sculptor,00h43m12.60s,−37° 58′ 57.48″,7.88,136,G5V+T9,C,60,,73000,20,,2006
Gliese 229,Lepus,06h10m35s,–21° 51′ 42″,8.14,19,M1V+T6.5,B,40,,73050,40,,1995
TYC 9486-927-1,Octans,21h26m50.4s,－81° 40′ 29.3″,11.82,111,M1V+L3γ,2MASS J2126-8140,13.3 ± 1.7,,328725000,6900,,2009
Epsilon Indi,Indus,22h03m22s,–56° 47′ 09″,4.69,11.8,K5V+T1V+T6V,Ba,47,,1532899.8,,,2003
HD 131664,Apus,15h00m06s,−73° 32′ 07″,8.13,180.8,G3V,b,18.15,,1951,3.17,0.638,2008
HD 136118,Serpens,15h18m55s,−01° 35′ 32″,6.94,171,F9V,b,42,,1209,1.45,0.352,2002
HD 140913,Corona Borealis,15h45m07s,+28° 28′ 12″,8.07,156.42,G0V,b,46,,147.94,0.54,0.61,1996
GQ Lupi b,Lupus,15h49m12s,–35° 39′ 03″,11.4,400,K7eV+M9e,b,1–42,1.8,,103,,2005
HD 162020,Scorpius,17h50m38s,–40° 19′ 06″,9.18,101.95,K2V,b,15.0,,8.428198,0.0751,0.277,2000
Nu Ophiuchi,Ophiuchus,17h59m01s,−09° 46′ 25″,3.33,152.8,K0III,b,21.9,,536,,0.13,2004
HD 164427,Telescopium,18h04m43s,−59° 12′ 35″,6.89,127.52,G4IV,b,46,,108.55,0.46,0.55,2000
SCR 1845-6357,Pavo,18h45m07s,−63° 57′ 43″,17.4,12.57,M8.5V,B,40-50,,,4.1,,2006
COROT-3,Aquila,19h28m13s,+00° 07′ 19″,13.3,2220,G0V,b,21.66,1.01,4.2568,0.057,0,2008
V921 Scorpii[10],Scorpius,16h59m07.0s,−42° 42′ 09.0″,11.0,4833,B0IVe,b,60,,,835,,2019
15 Sagittae,Sagitta,20h04m06s,+17° 04′ 13″,5.80,57.7,G1V+L4-5,B,65,,,14,,2002
Zeta Delphini,Delphinus,20h35m19s,+14° 40′ 27″,4.65,220,A3V+L5,B,55,,,910,,2014
HD 202206,Capricornus,21h14m58s,–20° 47′ 20″,8.08,151.14,G6V,b,17.4,,255.87,0.83,0.435,2000
Koenigstuhl1[7][11],Phoenix,00h21m10.74s,–42° 45′ 40.2″,15.3,87.4,M5.5V+L0.6V,B,51.88 ±3.6,1.18,,2083.4,,1998
HD 126053[7][12],Virgo,14h23m15.28s,+01° 14′ 29.6″,6.3,56.9,G1+T8p,B,34.29 ±18.38,0.91,,2630,,2012
47 Ophiuchi[7][13],Ophiuchus,17h26m37.88s,−05° 05′ 11.8″,4.5,105.3,F3+L5.5,B,69.66 ±0.88,0.93,,8850,,2014
Wolf 1130,Cygnus,20h05m02.20s,+54° 26′ 03.2″,13.9,54.1,sdM3+ONe+sdT8,C,44.9,0.82,,3150,,2013
